Dataset,Drift,BalAcc_mean,BalAcc_std,MCC_mean,MCC_std,F1
NF-CSE-CIC-IDS2018,Abrupt,0.702,0.02,0.435,0.03,0.674
NF-CSE-CIC-IDS2018,Gradual,0.686,0.02,0.388,0.03,0.655
NF-CSE-CIC-IDS2018,Recurring,0.69,0.02,0.4,0.03,0.66
NF-CSE-CIC-IDS2018,Stealth,0.652,0.02,0.291,0.03,0.616
NF-ToN-IoT,Abrupt,0.699,0.02,0.425,0.03,0.67
NF-ToN-IoT,Gradual,0.68,0.02,0.371,0.03,0.648
NF-ToN-IoT,Recurring,0.679,0.02,0.369,0.03,0.648
NF-ToN-IoT,Stealth,0.65,0.02,0.285,0.03,0.614
UNSW-NB15 (test),Abrupt,0.693,0.02,0.408,0.03,0.663
UNSW-NB15 (test),Gradual,0.689,0.02,0.398,0.03,0.659
UNSW-NB15 (test),Recurring,0.677,0.02,0.362,0.03,0.645
UNSW-NB15 (test),Stealth,0.665,0.02,0.328,0.03,0.631
CIDDS-001 (OpenStack),Abrupt,0.703,0.02,0.437,0.03,0.675
CIDDS-001 (OpenStack),Gradual,0.689,0.02,0.398,0.03,0.659
CIDDS-001 (OpenStack),Recurring,0.676,0.02,0.361,0.03,0.645
CIDDS-001 (OpenStack),Stealth,0.667,0.02,0.334,0.03,0.633
